CML23-,Origin (Package),Packed?,Who/What,Description,Female parent,Male parent,Female genotype,Male genotype,Number/Selection,row_design,column_design,rep
1001,LANGEBIO, ,AL/JL,HI93,UNISEM21A_915,x sib,HI93-271,x sib,14K,1,1,2
1002,LANGEBIO, ,AL/JL,HI79,UNISEM21A_379,x sib,HI79-370,x sib,14K,1,2,1
1003,LANGEBIO, ,AL/JL,HI73,UNISEM21A_410,x sib,HI73-028,x sib,14K,1,3,1
1004,LANGEBIO, ,AL/JL,HI79,UNISEM21A_288,x sib,HI79-280,x sib,14K,1,4,1
1005,LANGEBIO, ,AL/JL,HI79,UNISEM21A_314,x sib,HI79-306,x sib,14K,1,5,1
1006,LANGEBIO, ,AL/JL,HI79,UNISEM21A_294,x sib,HI79-286,x sib,14K,1,6,2
1007,LANGEBIO, ,AL/JL,HI79,UNISEM21A_329,x sib,HI79-321,x sib,14K,1,7,1
1008,LANGEBIO, ,AL/JL,HI79,UNISEM21A_195,x sib,HI79-191,x sib,14K,1,8,1
1009,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,1,9,50
1010,LANGEBIO, ,AL/JL,HI79,UNISEM21A_107,x sib,HI79-104,x sib,14K,1,10,1
1011,LANGEBIO, ,AL/JL,CHECK,NA,x sib,CHECK,x sib,14K,1,11,50
1012,LANGEBIO, ,AL/JL,HI79,UNISEM21A_166,x sib,HI79-162,x sib,14K,1,12,1
1013,LANGEBIO, ,AL/JL,HI79,UNISEM21A_222,x sib,HI79-217,x sib,14K,1,13,2
1014,LANGEBIO, ,AL/JL,HI79,UNISEM21A_38,x sib,HI79-035,x sib,14K,1,14,1
1015,LANGEBIO, ,AL/JL,HI93,UNISEM21A_686,x sib,HI93-049,x sib,14K,1,15,2
1016,LANGEBIO, ,AL/JL,HI79,UNISEM21A_370,x sib,HI79-361,x sib,14K,1,16,2
1017,LANGEBIO, ,AL/JL,HI93,UNISEM21A_956,x sib,HI93-312,x sib,14K,1,17,2
1018,LANGEBIO, ,AL/JL,HI73,UNISEM21A_613,x sib,HI73-217,x sib,14K,1,18,1
1019,LANGEBIO, ,AL/JL,HI79,UNISEM21A_339,x sib,HI79-331,x sib,14K,1,19,1
1020,LANGEBIO, ,AL/JL,HI73,UNISEM21A_441,x sib,HI73-059,x sib,14K,1,20,1
1021,LANGEBIO, ,AL/JL,HI79,UNISEM21A_83,x sib,HI79-080,x sib,14K,1,21,1
1022,LANGEBIO, ,AL/JL,HI79,UNISEM21A_266,x sib,HI79-258,x sib,14K,1,22,1
1023,LANGEBIO, ,AL/JL,HI73,UNISEM21A_551,x sib,HI73-164,x sib,14K,1,23,2
1024,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1007,x sib,HI93-008,x sib,14K,1,24,2
1025,LANGEBIO, ,AL/JL,HI79,UNISEM21A_120,x sib,HI79-117,x sib,14K,1,25,1
1026,LANGEBIO, ,AL/JL,HI73,UNISEM21A_390,x sib,HI73-008,x sib,14K,2,25,1
1027,LANGEBIO, ,AL/JL,HI73,UNISEM21A_594,x sib,HI73-202,x sib,14K,2,24,2
