CML23-,Origin (Package),Packed?,Who/What,Description,Female parent,Male parent,Female genotype,Male genotype,Number/Selection,row_design,column_design,rep,block
4001,LANGEBIO, ,AL/JL,HI93,UNISEM21A_820,x sib,HI93-179,x sib,14K,1,1,1,1
4002,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,1,2,1,1
4003,LANGEBIO, ,AL/JL,HI73,UNISEM21A_474,x sib,HI73-092,x sib,14K,1,3,1,1
4004,LANGEBIO, ,AL/JL,HI93,UNISEM21A_874,x sib,HI93-233,x sib,14K,1,4,1,1
4005,LANGEBIO, ,AL/JL,HI93,UNISEM21A_746,x sib,HI93-108,x sib,14K,1,5,1,1
4006,LANGEBIO, ,AL/JL,HI73,UNISEM21A_522,x sib,HI73-137,x sib,14K,1,6,1,1
4007,LANGEBIO, ,AL/JL,HI73,UNISEM21A_616,x sib,HI73-220,x sib,14K,1,7,1,1
4008,LANGEBIO, ,AL/JL,HI79,UNISEM21A_166,x sib,HI79-162,x sib,14K,1,8,1,1
4009,LANGEBIO, ,AL/JL,HI79,UNISEM21A_276,x sib,HI79-268,x sib,14K,1,9,1,1
4010,LANGEBIO, ,AL/JL,HI73,UNISEM21A_645,x sib,HI73-248,x sib,14K,1,10,1,1
4011,LANGEBIO, ,AL/JL,HI79,UNISEM21A_260,x sib,HI79-252,x sib,14K,1,11,1,1
4012,LANGEBIO, ,AL/JL,HI93,UNISEM21A_758,x sib,HI93-120,x sib,14K,1,12,1,1
4013,LANGEBIO, ,AL/JL,HI79,UNISEM21A_269,x sib,HI79-261,x sib,14K,1,13,1,1
4014,LANGEBIO, ,AL/JL,HI79,UNISEM21A_126,x sib,HI79-123,x sib,14K,1,14,1,1
4015,LANGEBIO, ,AL/JL,HI79,UNISEM21A_219,x sib,HI79-215,x sib,14K,1,15,1,1
4016,LANGEBIO, ,AL/JL,HI79,UNISEM21A_215,x sib,HI79-211,x sib,14K,2,15,1,2
4017,LANGEBIO, ,AL/JL,HI73,UNISEM21A_531,x sib,HI73-145,x sib,14K,2,14,1,2
4018,LANGEBIO, ,AL/JL,HI79,UNISEM21A_137,x sib,HI79-134,x sib,14K,2,13,1,2
4019,LANGEBIO, ,AL/JL,HI93,UNISEM21A_964,x sib,HI93-320,x sib,14K,2,12,1,2
4020,LANGEBIO, ,AL/JL,HI93,UNISEM21A_723,x sib,HI93-085,x sib,14K,2,11,1,2
4021,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1033,x sib,HI93-033,x sib,14K,2,10,1,2
4022,LANGEBIO, ,AL/JL,HI73,UNISEM21A_493,x sib,HI73-110,x sib,14K,2,9,1,2
4023,LANGEBIO, ,AL/JL,HI73,UNISEM21A_445,x sib,HI73-063,x sib,14K,2,8,1,2
4024,LANGEBIO, ,AL/JL,HI93,UNISEM21A_697,x sib,HI93-060,x sib,14K,2,7,1,2
4025,LANGEBIO, ,AL/JL,HI79,UNISEM21A_367,x sib,HI79-358,x sib,14K,2,6,1,2
4026,LANGEBIO, ,AL/JL,HI73,UNISEM21A_646,x sib,HI73-249,x sib,14K,2,5,1,2
4027,LANGEBIO, ,AL/JL,HI79,UNISEM21A_86,x sib,HI79-083,x sib,14K,2,4,1,2
4028,LANGEBIO, ,AL/JL,HI79,UNISEM21A_305,x sib,HI79-297,x sib,14K,2,3,1,2
4029,LANGEBIO, ,AL/JL,HI79,UNISEM21A_10,x sib,HI79-010,x sib,14K,2,2,1,2
4030,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,2,1,1,2
4031,LANGEBIO, ,AL/JL,HI93,UNISEM21A_872,x sib,HI93-231,x sib,14K,3,1,1,3
4032,LANGEBIO, ,AL/JL,HI79,UNISEM21A_279,x sib,HI79-271,x sib,14K,3,2,1,3
4033,LANGEBIO, ,AL/JL,HI93,UNISEM21A_832,x sib,HI93-191,x sib,14K,3,3,1,3
4034,LANGEBIO, ,AL/JL,HI79,UNISEM21A_282,x sib,HI79-274,x sib,14K,3,4,1,3
4035,LANGEBIO, ,AL/JL,HI73,UNISEM21A_398,x sib,HI73-016,x sib,14K,3,5,1,3
4036,LANGEBIO, ,AL/JL,HI79,UNISEM21A_254,x sib,HI79-246,x sib,14K,3,6,1,3
4037,LANGEBIO, ,AL/JL,HI73,UNISEM21A_661,x sib,HI73-264,x sib,14K,3,7,1,3
4038,LANGEBIO, ,AL/JL,HI79,UNISEM21A_326,x sib,HI79-318,x sib,14K,3,8,1,3
4039,LANGEBIO, ,AL/JL,HI73,UNISEM21A_585,x sib,HI73-193,x sib,14K,3,9,1,3
4040,LANGEBIO, ,AL/JL,HI93,UNISEM21A_911,x sib,HI93-267,x sib,14K,3,10,1,3
4041,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,3,11,1,3
4042,LANGEBIO, ,AL/JL,HI93,UNISEM21A_716,x sib,HI93-078,x sib,14K,3,12,1,3
4043,LANGEBIO, ,AL/JL,HI79,UNISEM21A_380,x sib,HI79-371,x sib,14K,3,13,1,3
4044,LANGEBIO, ,AL/JL,HI73,UNISEM21A_438,x sib,HI73-056,x sib,14K,3,14,1,3
4045,LANGEBIO, ,AL/JL,HI79,UNISEM21A_359,x sib,HI79-350,x sib,14K,3,15,1,3
4046,LANGEBIO, ,AL/JL,HI79,UNISEM21A_347,x sib,HI79-339,x sib,14K,4,15,1,4
4047,LANGEBIO, ,AL/JL,HI93,UNISEM21A_935,x sib,HI93-291,x sib,14K,4,14,1,4
4048,LANGEBIO, ,AL/JL,HI79,UNISEM21A_180,x sib,HI79-176,x sib,14K,4,13,1,4
4049,LANGEBIO, ,AL/JL,HI93,UNISEM21A_849,x sib,HI93-208,x sib,14K,4,12,1,4
4050,LANGEBIO, ,AL/JL,HI93,UNISEM21A_815,x sib,HI93-174,x sib,14K,4,11,1,4
4051,LANGEBIO, ,AL/JL,HI73,UNISEM21A_495,x sib,HI73-112,x sib,14K,4,10,1,4
4052,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1037,x sib,HI93-037,x sib,14K,4,9,1,4
4053,LANGEBIO, ,AL/JL,HI79,UNISEM21A_217,x sib,HI79-213,x sib,14K,4,8,1,4
4054,LANGEBIO, ,AL/JL,HI79,UNISEM21A_145,x sib,HI79-141,x sib,14K,4,7,1,4
4055,LANGEBIO, ,AL/JL,HI79,UNISEM21A_190,x sib,HI79-186,x sib,14K,4,6,1,4
4056,LANGEBIO, ,AL/JL,HI73,UNISEM21A_560,x sib,HI73-173,x sib,14K,4,5,1,4
4057,LANGEBIO, ,AL/JL,HI73,UNISEM21A_528,x sib,HI73-142,x sib,14K,4,4,1,4
4058,LANGEBIO, ,AL/JL,HI73,UNISEM21A_516,x sib,HI73-131,x sib,14K,4,3,1,4
4059,LANGEBIO, ,AL/JL,HI79,UNISEM21A_292,x sib,HI79-284,x sib,14K,4,2,1,4
4060,LANGEBIO, ,AL/JL,HERMES,HERMES,x sib,HERMES,x sib,14K,4,1,1,4
4061,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1040,x sib,HI93-040,x sib,14K,5,1,1,5
4062,LANGEBIO, ,AL/JL,HI93,UNISEM21A_1019,x sib,HI93-019,x sib,14K,5,2,1,5
4063,LANGEBIO, ,AL/JL,HI73,UNISEM21A_497,x sib,HI73-114,x sib,14K,5,3,1,5
4064,LANGEBIO, ,AL/JL,HI73,UNISEM21A_467,x sib,HI73-085,x sib,14K,5,4,1,5
4065,LANGEBIO, ,AL/JL,HI93,UNISEM21A_794,x sib,HI93-155,x sib,14K,5,5,1,5
