iter	RMSE
0	0.8737327793
1	0.8711215759
2	0.8687084692
3	0.8670745142
4	0.8646475053
5	0.8615755457
6	0.8589572651
7	0.8571331102
8	0.8548457973
9	0.8522535674
10	0.8505268492
11	0.8485853896
12	0.8462977246
13	0.8443792708
14	0.8428028339
15	0.8409741091
16	0.8387158364
17	0.8375237581
18	0.8357723832
19	0.8340635202
20	0.8320091189
21	0.8309780603
22	0.8291637632
23	0.8280174592
24	0.8270615966
25	0.8260911224
26	0.8249312124
27	0.8236073393
28	0.8220150933
29	0.8208126182
30	0.8197200521
31	0.8191402519
32	0.8184111731
33	0.8177850059
34	0.8165707637
35	0.8153985254
36	0.8140956089
37	0.8124648429
38	0.8114893136
39	0.8103442056
40	0.8094554744
41	0.8087599403
42	0.8080760567
43	0.8075177148
44	0.8071213692
45	0.8067843679
46	0.8059173121
47	0.805094937
48	0.8042102144
49	0.8030542119
50	0.801575855
51	0.8014012831
52	0.8003941772
53	0.7995444987
54	0.7991773043
55	0.7989384747
56	0.7978819935
57	0.797693965
58	0.7975670042
59	0.7971337869
60	0.7966176477
61	0.7961843465
62	0.7961843463
63	0.7955367921
64	0.7950725627
65	0.794493017
66	0.7934667526
67	0.7925293713
68	0.792525766
69	0.7918330738
70	0.7913318526
71	0.7906933176
72	0.7897922483
73	0.789617894
74	0.788704939
75	0.7886408186
76	0.7882013002
77	0.7874944186
78	0.7870816607
79	0.7861740122
80	0.7854151014
81	0.7853446723
82	0.7844106006
83	0.7841664411
84	0.7838412265
85	0.7831445083
86	0.7825065879
87	0.7824952743
88	0.7821104208
89	0.782088718
90	0.7813769836
91	0.7810200966
92	0.7803769407
93	0.7802089757
94	0.7797263914
95	0.7793651697
96	0.7793651695
97	0.7793644738
98	0.7785334099
99	0.7783270925
100	0.7777213958
101	0.7774823898
102	0.7764842638
103	0.7760051469
104	0.7757666063
105	0.7752660948
106	0.7740539256
107	0.774031183
108	0.7738898864
109	0.7738898863
110	0.7732730657
111	0.7730404474
112	0.7727245151
113	0.7724730636
114	0.7721052434
115	0.7716550752
116	0.7709991989
117	0.7705287697
118	0.7702808417
119	0.7698982204
120	0.7691370433
121	0.7691370431
122	0.7686143649
123	0.7682951302
124	0.7679410723
125	0.7670838839
126	0.7670838838
127	0.7667570992
128	0.7667295115
129	0.7661446134
130	0.7661208658
131	0.7654541118
132	0.7647602957
133	0.7642161602
134	0.7636148519
135	0.7633717143
136	0.7628085434
137	0.7627899727
138	0.7626037013
139	0.7622112589
140	0.7619331303
141	0.7617161388
142	0.7614374001
143	0.7614160071
144	0.7613628854
145	0.7613498432
146	0.760645093
147	0.7597364285
148	0.7593625566
149	0.7590878639
150	0.7588704692
151	0.7584799164
152	0.7572620109
153	0.7557461826
154	0.755387493
155	0.7550689193
156	0.7550689193
157	0.7543747527
158	0.7543723307
159	0.7542843182
160	0.7539744455
161	0.7539744454
162	0.7538899341
163	0.7529375662
164	0.7523414395
165	0.7517472849
166	0.7513012913
167	0.751263468
168	0.7512080138
169	0.7505538261
170	0.7497626399
171	0.7486858334
172	0.7483212426
173	0.7478772471
174	0.7478772471
175	0.7474253042
176	0.7469301925
177	0.7469162115
178	0.7468695389
179	0.7464079329
180	0.7456321058
181	0.7456304864
182	0.745025352
183	0.7449096237
184	0.7444818288
185	0.7444818288
186	0.7444818288
187	0.7444777481
188	0.7442206949
189	0.7438988057
190	0.7438981282
191	0.7435643281
192	0.7429630736
193	0.7429630736
194	0.7421207706
195	0.7411013687
196	0.7411013649
197	0.7408290353
198	0.7408290353
199	0.7404098115
200	0.7403835627
201	0.7394596457
202	0.7383919255
203	0.7381397208
204	0.7381392809
205	0.7380750441
206	0.7375869893
207	0.7370685189
208	0.7367723762
209	0.7367714455
210	0.736560818
211	0.736560818
212	0.735971122
213	0.7353027726
214	0.7342774463
215	0.733912778
216	0.733071371
217	0.7320626948
218	0.7320583563
219	0.7317003108
220	0.7314875835
221	0.7314875834
222	0.7310723553
223	0.7305999234
224	0.7305999234
225	0.7299582664
226	0.7295442423
227	0.7289319848
228	0.7280552814
229	0.7273844676
230	0.7266533365
231	0.7262587009
232	0.7260124979
233	0.7255535952
234	0.7255535952
235	0.7255388614
236	0.7253346426
237	0.7251585812
238	0.7251527596
239	0.7251527596
240	0.724787465
241	0.7247476467
242	0.7247432859
243	0.724511141
244	0.7242145479
245	0.7240825171
246	0.7235399353
247	0.7228025428
248	0.7227637186
249	0.7227637186
250	0.7227610947
251	0.7227605859
252	0.7220437577
253	0.7214290905
254	0.7208301739
255	0.7199190256
256	0.7199174771
257	0.7195200767
258	0.7193783367
259	0.7192692901
260	0.7188409967
261	0.7186801866
262	0.7184557692
263	0.7184557692
264	0.7184557692
265	0.7178433577
266	0.717643507
267	0.7174202293
268	0.7174159076
269	0.717176761
270	0.7171718229
271	0.7171700634
272	0.717144457
273	0.7167058318
274	0.7167058318
275	0.7161323177
276	0.7160423322
277	0.7158901779
278	0.7158853702
279	0.7149900795
280	0.7145129027
281	0.7144864403
282	0.7144625032
283	0.7140726094
284	0.713893929
285	0.7136676853
286	0.7134279064
287	0.7128625811
288	0.7124671968
289	0.7121937771
