iter	Passed	Remaining
0	9	4396
1	28	6587
2	36	5655
3	44	5183
4	62	5818
5	88	6804
6	111	7346
7	120	6949
8	146	7497
9	177	8169
10	199	8293
11	230	8777
12	255	8945
13	278	9039
14	301	9127
15	325	9217
16	350	9307
17	358	8987
18	378	8961
19	398	8953
20	423	9039
21	438	8901
22	458	8892
23	489	9084
24	511	9077
25	533	9092
26	556	9117
27	584	9208
28	620	9413
29	656	9600
30	693	9795
31	711	9710
32	728	9626
33	745	9543
34	773	9592
35	797	9590
36	819	9562
37	842	9552
38	863	9515
39	885	9500
40	912	9522
41	934	9504
42	959	9508
43	982	9489
44	993	9356
45	1002	9221
46	1023	9189
47	1046	9180
48	1070	9176
49	1095	9182
50	1117	9159
51	1126	9032
52	1147	9009
53	1169	8985
54	1192	8979
55	1208	8910
56	1231	8898
57	1245	8823
58	1250	8689
59	1270	8662
60	1291	8635
61	1312	8613
62	1313	8461
63	1339	8478
64	1361	8462
65	1387	8470
66	1407	8443
67	1429	8430
68	1435	8322
69	1458	8311
70	1479	8293
71	1502	8282
72	1524	8267
73	1537	8205
74	1560	8200
75	1571	8128
76	1595	8120
77	1618	8110
78	1639	8094
79	1665	8098
80	1690	8098
81	1704	8042
82	1725	8022
83	1748	8015
84	1769	7994
85	1790	7974
86	1813	7963
87	1817	7867
88	1839	7854
89	1850	7794
90	1873	7781
91	1896	7772
92	1916	7747
93	1954	7797
94	1989	7831
95	2018	7843
96	2026	7770
97	2039	7721
98	2078	7766
99	2110	7787
100	2148	7827
101	2169	7805
102	2190	7784
103	2212	7763
104	2235	7750
105	2257	7729
106	2284	7730
107	2291	7660
108	2301	7602
109	2302	7514
110	2327	7507
111	2351	7494
112	2372	7474
113	2394	7456
114	2416	7438
115	2438	7420
116	2461	7406
117	2487	7397
118	2509	7380
119	2534	7371
120	2557	7355
121	2558	7276
122	2579	7255
123	2601	7237
124	2622	7215
125	2643	7197
126	2647	7129
127	2671	7117
128	2680	7065
129	2704	7053
130	2712	6997
131	2734	6982
132	2761	6976
133	2784	6962
134	2807	6946
135	2830	6931
136	2851	6910
137	2861	6864
138	2892	6866
139	2915	6851
140	2952	6867
141	3029	6977
142	3098	7063
143	3122	7047
144	3138	7013
145	3154	6978
146	3181	6968
147	3204	6950
148	3226	6929
149	3250	6912
150	3274	6895
151	3295	6872
152	3319	6855
153	3345	6843
154	3369	6826
155	3390	6802
156	3394	6746
157	3415	6723
158	3423	6675
159	3448	6660
160	3478	6653
161	3484	6603
162	3497	6566
163	3525	6556
164	3548	6537
165	3574	6524
166	3600	6510
167	3609	6466
168	3622	6431
169	3645	6412
170	3672	6399
171	3696	6383
172	3721	6366
173	3745	6349
174	3748	6298
175	3774	6284
176	3802	6272
177	3812	6232
178	3824	6196
179	3849	6180
180	3877	6169
181	3883	6124
182	3918	6124
183	3945	6111
184	3973	6099
185	3977	6051
186	3977	5998
187	3985	5956
188	4003	5930
189	4024	5909
190	4030	5866
191	4051	5845
192	4073	5825
193	4079	5783
194	4102	5764
195	4130	5753
196	4137	5712
197	4161	5695
198	4164	5650
199	4187	5631
200	4202	5603
201	4226	5586
202	4251	5570
203	4274	5552
204	4281	5513
205	4294	5482
206	4314	5461
207	4335	5439
208	4364	5429
209	4380	5402
210	4406	5387
211	4410	5346
212	4432	5327
213	4459	5313
214	4479	5292
215	4500	5271
216	4524	5254
217	4547	5235
218	4560	5206
219	4599	5205
220	4633	5199
221	4638	5160
222	4670	5152
223	4720	5163
224	4739	5139
225	4767	5126
226	4793	5110
227	4816	5091
228	4840	5072
229	4864	5054
230	4888	5036
231	4910	5016
232	4931	4994
233	4952	4974
234	4956	4935
235	4966	4903
236	4985	4880
237	5014	4866
238	5028	4839
239	5032	4801
240	5061	4788
241	5092	4776
242	5103	4746
243	5127	4728
244	5153	4711
245	5180	4696
246	5204	4677
247	5226	4657
248	5236	4626
249	5241	4591
250	5248	4558
251	5253	4523
252	5274	4503
253	5298	4484
254	5320	4465
255	5344	4446
256	5352	4415
257	5382	4401
258	5407	4384
259	5430	4365
260	5457	4348
261	5474	4325
262	5498	4306
263	5501	4272
264	5504	4237
265	5525	4216
266	5549	4198
